"Date,Bank,Account Number,Charge Type,Description,Amount"
"2026-01-05,Zenith Bank,1234567890,COT,Commission on turnover,150000"
"2026-01-12,Zenith Bank,1234567890,Interest,Loan interest charge,450000"
"2026-01-20,GTBank,0987654321,Transfer Charges,Transaction fees,65000"
"2026-01-28,Access Bank,1122334455,Maintenance,Account maintenance charge,90000"
"2026-02-06,Zenith Bank,1234567890,COT,Commission on turnover,180000"
"2026-02-14,Zenith Bank,1234567890,Interest,Loan interest charge,520000"
"2026-02-22,GTBank,0987654321,Transfer Charges,Transaction fees,75000"
"2026-02-27,Access Bank,1122334455,Maintenance,Account maintenance charge,110000"
"2026-03-04,Zenith Bank,1234567890,COT,Commission on turnover,220000"
"2026-03-13,Zenith Bank,1234567890,Interest,Loan interest charge,750000"
"2026-03-21,GTBank,0987654321,Transfer Charges,Transaction fees,95000"
"2026-03-29,Access Bank,1122334455,Maintenance,Account maintenance charge,150000"
